id	x	y	nivel	phcacl2	mo	p	k	al	ca	mg	hal	sb	t	v	cu	mn	fe	zn	areia	silte	argila
149	-55.5632514953613	-21.6403713226318	5	4.91	31.98	9.75	0.56	0.00	2.94	1.62	5.20	5.13	10.33	49.63	5.17	47.24	36.77	4.48	275.00	175.00	550.00
150	-55.5633506774902	-21.6397743225098	5	4.80	30.80	11.43	0.44	0.00	5.33	1.54	5.97	7.31	13.29	55.04	6.72	51.84	63.43	4.79	250.00	200.00	550.00
151	-55.5626449584961	-21.6391525268555	5	4.65	27.95	5.37	0.46	0.24	4.14	1.12	4.73	5.72	10.45	54.74	5.81	54.06	43.14	5.72	300.00	175.00	525.00
152	-55.5628204345703	-21.6385326385498	5	4.91	25.56	6.30	0.48	0.00	4.37	1.66	3.95	6.51	10.46	62.27	6.81	67.86	22.84	3.56	350.00	150.00	500.00
153	-55.5621604919434	-21.63791847229	5	5.09	23.41	9.66	0.37	0.00	4.73	2.30	3.19	7.40	10.60	69.88	10.08	78.69	36.41	5.13	350.00	200.00	450.00
154	-55.5622673034668	-21.6372852325439	5	5.20	27.59	15.07	0.35	0.00	5.80	2.19	2.93	8.34	11.27	73.99	6.43	70.91	37.95	3.69	375.00	175.00	450.00
155	-55.5618589940126	-21.6366804093924	5	5.23	29.56	12.46	0.39	0.00	6.18	1.97	3.55	8.54	12.09	70.65	10.96	89.13	66.25	3.98	350.00	150.00	500.00
156	-55.5625722366278	-21.6366685158006	5	5.13	31.24	11.24	0.42	0.00	6.73	2.06	3.33	9.21	12.54	73.44	10.26	81.78	53.38	4.83	350.00	150.00	500.00
157	-55.56298828125	-21.6372718811035	5	5.14	26.97	11.43	0.31	0.00	7.42	2.06	3.55	9.80	13.35	73.41	9.95	95.31	35.73	5.26	350.00	150.00	500.00
158	-55.5628700256348	-21.6378898620605	5	5.23	22.44	6.11	0.56	0.00	4.93	1.72	3.74	7.21	10.95	65.83	4.19	53.37	30.23	3.31	350.00	150.00	500.00
159	-55.5635261535645	-21.6385040283203	5	5.05	25.27	12.18	0.43	0.12	5.82	1.53	5.37	7.78	13.15	59.15	5.09	65.32	31.39	5.15	275.00	175.00	550.00
160	-55.5633354187012	-21.639139175415	5	4.81	30.76	11.34	0.46	0.36	4.47	1.23	7.15	6.16	13.32	46.27	6.81	49.22	30.14	3.86	250.00	200.00	550.00
161	-55.5640716552734	-21.6397743225098	5	4.60	22.62	7.42	0.56	0.00	4.33	1.80	4.78	6.69	11.47	58.32	7.65	55.77	58.97	4.86	250.00	150.00	600.00
162	-55.5639305114746	-21.6403560638428	5	4.90	34.46	7.42	0.65	0.00	5.71	1.64	3.74	8.00	11.74	68.12	4.95	52.66	55.22	3.98	250.00	150.00	600.00
163	-55.5646591186523	-21.641019821167	5	5.04	31.82	15.63	0.51	0.00	7.44	1.99	3.78	9.94	13.72	72.43	6.99	89.47	46.47	9.39	250.00	150.00	600.00
164	-55.5649871826172	-21.6416893005371	5	5.11	33.32	6.95	0.28	0.00	6.32	2.61	3.91	9.21	13.12	70.23	7.60	57.59	91.96	5.15	250.00	150.00	600.00
165	-55.5653091164768	-21.6423032562556	5	5.44	31.59	8.07	0.50	0.00	5.57	1.70	3.09	7.77	10.86	71.53	6.35	81.64	31.50	5.89	250.00	150.00	600.00
166	-55.5660282468234	-21.6423094662372	5	5.32	30.80	8.72	0.47	0.00	5.22	1.71	3.44	7.40	10.84	68.27	4.88	60.00	39.00	4.37	250.00	175.00	575.00
167	-55.5657234191895	-21.6416759490967	5	5.07	34.00	13.58	0.41	0.00	5.57	1.74	4.34	7.72	12.06	63.99	7.12	77.44	32.92	3.63	250.00	175.00	575.00
168	-55.5653419494629	-21.6410350799561	5	5.30	27.85	13.86	0.48	0.00	6.69	2.00	3.74	9.18	12.92	71.04	6.98	52.06	90.70	4.41	225.00	125.00	650.00
169	-55.5646820068359	-21.6403846740723	5	4.92	31.17	5.27	0.61	0.00	4.65	1.39	4.58	6.65	11.23	59.20	4.87	44.01	33.60	4.65	250.00	150.00	600.00
170	-55.5647773742676	-21.6397876739502	5	4.90	32.69	6.30	0.29	0.00	5.21	1.57	5.49	7.07	12.56	56.32	7.93	94.54	30.33	3.77	250.00	175.00	575.00
171	-55.5640716552734	-21.6391525268555	5	4.75	36.08	8.26	0.60	0.12	4.92	1.46	4.78	6.98	11.76	59.36	6.35	58.65	67.70	3.76	225.00	200.00	575.00
172	-55.5642890930176	-21.6385326385498	5	5.15	31.03	7.98	0.42	0.00	5.50	1.78	3.55	7.70	11.25	68.45	9.74	81.14	70.84	4.33	250.00	200.00	550.00
173	-55.5636329650879	-21.63791847229	5	5.00	26.70	7.51	0.30	0.00	6.71	1.89	3.51	8.90	12.41	71.71	11.89	80.23	90.33	5.68	300.00	150.00	550.00
174	-55.5636777478397	-21.637311166061	5	5.23	30.94	6.67	0.31	0.00	4.53	1.96	3.09	6.79	9.89	68.73	10.15	85.65	50.69	5.79	300.00	175.00	525.00
175	-55.5633088480419	-21.6366748869782	5	5.40	29.86	10.68	1.03	0.00	4.74	1.81	3.06	7.58	10.64	71.24	11.49	84.40	72.23	4.03	325.00	175.00	500.00
176	-55.5642931545221	-21.6379335052588	5	5.24	32.14	5.74	0.39	0.00	4.73	2.12	3.44	7.25	10.68	67.82	8.74	57.14	54.60	3.60	250.00	200.00	550.00
177	-55.5649664452889	-21.6385391856803	5	5.00	30.03	7.14	0.41	0.00	5.79	2.24	4.63	8.43	13.06	64.57	8.67	69.31	57.39	4.27	300.00	200.00	500.00
178	-55.5647773742676	-21.639139175415	5	5.04	33.67	10.96	0.53	0.00	5.43	1.57	4.88	7.53	12.41	60.67	9.47	90.58	73.89	5.69	250.00	200.00	550.00
179	-55.5655136108398	-21.6397743225098	5	5.27	36.76	11.15	0.59	0.00	7.05	2.01	4.03	9.65	13.68	70.52	6.93	61.68	44.93	3.56	275.00	175.00	550.00
180	-55.5653877258301	-21.6403980255127	5	4.75	30.98	7.60	0.46	0.36	4.35	1.45	6.64	6.27	12.91	48.55	6.77	43.86	38.50	7.39	250.00	200.00	550.00
181	-55.566089630127	-21.6410617828369	5	5.34	27.10	15.26	0.33	0.00	4.99	2.22	3.47	7.55	11.02	68.47	6.53	44.03	44.63	4.78	250.00	200.00	550.00
182	-55.5664176940918	-21.6416893005371	5	5.12	32.01	6.39	0.39	0.00	6.18	1.79	3.91	8.35	12.26	68.14	4.90	115.39	24.47	4.99	275.00	175.00	550.00
183	-55.5669059753418	-21.6410350799561	5	5.65	30.56	6.76	0.54	0.00	6.85	2.29	2.66	9.68	12.34	78.41	8.03	54.15	37.77	13.60	300.00	200.00	500.00
184	-55.5662078857422	-21.6404247283936	5	5.10	30.36	11.34	0.50	0.00	4.69	1.34	4.03	6.53	10.57	61.84	10.63	50.67	49.58	3.13	275.00	225.00	500.00
185	-55.5662750781082	-21.6398024988992	5	5.04	30.51	10.12	0.42	0.00	6.40	1.95	4.21	8.78	12.99	67.60	9.82	88.18	71.58	4.41	300.00	200.00	500.00
186	-55.5655776612775	-21.6391651581711	5	5.11	28.35	8.72	0.55	0.00	6.33	1.79	3.51	8.67	12.18	71.17	8.29	69.72	70.91	8.13	250.00	200.00	550.00
187	-55.5668295769522	-21.6404051885016	5	5.29	27.10	8.91	0.87	0.00	6.12	1.86	3.82	8.85	12.67	69.83	8.57	65.40	46.51	4.49	300.00	175.00	525.00
